Plot,Species
227,Lupinus perennis
227,Monarda fistulosa
227,Panicum virgatum
227,Petalostemum purpureum
227,Poa pratensis
227,Quercus macrocarpa
227,Schizachyrium scoparium
227,Solidago rigida
227,Sorghastrum nutans
229,Andropogon gerardi
229,Petalostemum purpureum
229,Poa pratensis
229,Schizachyrium scoparium
230,Panicum virgatum
232,Koeleria cristata
232,Lupinus perennis
232,Monarda fistulosa
232,Panicum virgatum
232,Petalostemum candidum
232,Petalostemum villosum
232,Quercus ellipsoidalis
232,Schizachyrium scoparium
232,Solidago rigida
232,Sorghastrum nutans
233,Liatris aspera
233,Petalostemum purpureum
233,Poa pratensis
233,Quercus ellipsoidalis
234,Elymus canadensis
234,Lupinus perennis
235,Achillea millefolium(lanulosa)
235,Agropyron smithii
235,Amorpha canescens
235,Andropogon gerardi
235,Asclepias tuberosa
235,Lespedeza capitata
235,Liatris aspera
235,Lupinus perennis
235,Monarda fistulosa
235,Panicum virgatum
235,Petalostemum purpureum
235,Poa pratensis
235,Quercus ellipsoidalis
235,Quercus macrocarpa
235,Schizachyrium scoparium
235,Solidago rigida
235,Sorghastrum nutans
236,Lespedeza capitata
236,Panicum virgatum
237,Poa pratensis
239,Achillea millefolium(lanulosa)
239,Agropyron smithii
239,Amorpha canescens
239,Andropogon gerardi
239,Asclepias tuberosa
239,Elymus canadensis
239,Koeleria cristata
239,Lespedeza capitata
239,Lupinus perennis
239,Monarda fistulosa
239,Petalostemum purpureum
239,Poa pratensis
239,Quercus ellipsoidalis
239,Quercus macrocarpa
239,Schizachyrium scoparium
239,Solidago rigida
239,Sorghastrum nutans
242,Agropyron smithii
242,Amorpha canescens
242,Andropogon gerardi
242,Asclepias tuberosa
242,Elymus canadensis
242,Koeleria cristata
242,Liatris aspera
242,Lupinus perennis
242,Monarda fistulosa
242,Panicum virgatum
242,Petalostemum purpureum
242,Poa pratensis
242,Quercus ellipsoidalis
242,Quercus macrocarpa
242,Schizachyrium scoparium
242,Solidago rigida
242,Sorghastrum nutans
244,Bare ground
248,Bare ground
253,Achillea millefolium(lanulosa)
253,Agropyron smithii
253,Amorpha canescens
253,Andropogon gerardi
253,Asclepias tuberosa
253,Koeleria cristata
253,Lespedeza capitata
253,Liatris aspera
253,Lupinus perennis
253,Monarda fistulosa
253,Panicum virgatum
253,Petalostemum purpureum
253,Poa pratensis
253,Quercus macrocarpa
253,Schizachyrium scoparium
253,Solidago rigida
253,Sorghastrum nutans
255,Quercus ellipsoidalis
256,Agropyron smithii
257,Achillea millefolium(lanulosa)
257,Agropyron smithii
257,Amorpha canescens
257,Elymus canadensis
257,Koeleria cristata
257,Lespedeza capitata
257,Liatris aspera
257,Lupinus perennis
257,Monarda fistulosa
257,Panicum virgatum
257,Petalostemum purpureum
257,Poa pratensis
257,Quercus ellipsoidalis
257,Quercus macrocarpa
257,Schizachyrium scoparium
257,Solidago rigida
257,Sorghastrum nutans
259,Lespedeza capitata
259,Schizachyrium scoparium
265,Lupinus perennis
266,Achillea millefolium(lanulosa)
266,Agropyron smithii
266,Andropogon gerardi
266,Petalostemum candidum
266,Petalostemum purpureum
266,Petalostemum villosum
266,Quercus macrocarpa
266,Schizachyrium scoparium
266,Sorghastrum nutans
267,Liatris aspera
268,Koeleria cristata
272,Petalostemum candidum
272,Petalostemum villosum
272,Quercus ellipsoidalis
273,Achillea millefolium(lanulosa)
273,Andropogon gerardi
273,Asclepias tuberosa
273,Elymus canadensis
273,Koeleria cristata
273,Lespedeza capitata
273,Liatris aspera
273,Lupinus perennis
273,Monarda fistulosa
273,Panicum virgatum
273,Petalostemum purpureum
273,Poa pratensis
273,Quercus ellipsoidalis
273,Quercus macrocarpa
273,Schizachyrium scoparium
273,Solidago rigida
273,Sorghastrum nutans
278,Elymus canadensis
278,Sorghastrum nutans
280,Schizachyrium scoparium
282,Sorghastrum nutans
283,Achillea millefolium(lanulosa)
283,Agropyron smithii
283,Andropogon gerardi
283,Asclepias tuberosa
283,Elymus canadensis
283,Panicum virgatum
283,Schizachyrium scoparium
283,Sorghastrum nutans
286,Lespedeza capitata
286,Poa pratensis
286,Schizachyrium scoparium
286,Sorghastrum nutans
287,Achillea millefolium(lanulosa)
287,Elymus canadensis
287,Monarda fistulosa
287,Schizachyrium scoparium
287,Solidago rigida
290,Monarda fistulosa
290,Solidago rigida
291,Petalostemum purpureum
292,Andropogon gerardi
292,Elymus canadensis
292,Koeleria cristata
292,Lespedeza capitata
292,Lupinus perennis
292,Petalostemum candidum
292,Petalostemum villosum
292,Poa pratensis
292,Sorghastrum nutans
293,Andropogon gerardi
293,Asclepias tuberosa
293,Lespedeza capitata
293,Lupinus perennis
293,Petalostemum purpureum
293,Quercus ellipsoidalis
293,Quercus macrocarpa
293,Schizachyrium scoparium
296,Quercus macrocarpa
299,Agropyron smithii
299,Amorpha canescens
299,Andropogon gerardi
299,Asclepias tuberosa
299,Elymus canadensis
299,Koeleria cristata
299,Lespedeza capitata
299,Liatris aspera
299,Lupinus perennis
299,Monarda fistulosa
299,Panicum virgatum
299,Petalostemum purpureum
299,Poa pratensis
299,Quercus macrocarpa
299,Schizachyrium scoparium
299,Solidago rigida
299,Sorghastrum nutans
300,Lupinus perennis
300,Panicum virgatum
301,Achillea millefolium(lanulosa)
301,Agropyron smithii
301,Amorpha canescens
301,Andropogon gerardi
301,Asclepias tuberosa
301,Elymus canadensis
301,Koeleria cristata
301,Lespedeza capitata
301,Liatris aspera
301,Lupinus perennis
301,Monarda fistulosa
301,Panicum virgatum
301,Poa pratensis
301,Quercus macrocarpa
301,Schizachyrium scoparium
301,Solidago rigida
301,Sorghastrum nutans
302,Liatris aspera
302,Lupinus perennis
302,Monarda fistulosa
302,Quercus macrocarpa
302,Solidago rigida
303,Achillea millefolium(lanulosa)
303,Agropyron smithii
303,Koeleria cristata
303,Liatris aspera
303,Lupinus perennis
303,Monarda fistulosa
303,Petalostemum candidum
303,Petalostemum villosum
303,Poa pratensis
303,Solidago rigida
304,Agropyron smithii
304,Koeleria cristata
307,Asclepias tuberosa
307,Lupinus perennis
307,Monarda fistulosa
307,Panicum virgatum
307,Petalostemum purpureum
307,Quercus ellipsoidalis
307,Quercus macrocarpa
307,Schizachyrium scoparium
307,Solidago rigida
308,Asclepias tuberosa
311,Koeleria cristata
311,Panicum virgatum
313,Achillea millefolium(lanulosa)
313,Koeleria cristata
313,Lespedeza capitata
313,Liatris aspera
313,Lupinus perennis
313,Petalostemum candidum
313,Petalostemum purpureum
313,Petalostemum villosum
313,Quercus macrocarpa
318,Achillea millefolium(lanulosa)
318,Agropyron smithii
318,Amorpha canescens
318,Andropogon gerardi
318,Asclepias tuberosa
318,Elymus canadensis
318,Koeleria cristata
318,Lespedeza capitata
318,Lupinus perennis
318,Monarda fistulosa
318,Panicum virgatum
318,Poa pratensis
318,Quercus ellipsoidalis
318,Quercus macrocarpa
318,Schizachyrium scoparium
318,Solidago rigida
318,Sorghastrum nutans
322,Quercus ellipsoidalis
322,Schizachyrium scoparium
324,Elymus canadensis
324,Poa pratensis
325,Koeleria cristata
325,Monarda fistulosa
325,Panicum virgatum
325,Petalostemum purpureum
325,Solidago rigida
328,Achillea millefolium(lanulosa)
328,Agropyron smithii
328,Amorpha canescens
328,Andropogon gerardi
328,Asclepias tuberosa
328,Elymus canadensis
328,Koeleria cristata
328,Lespedeza capitata
328,Liatris aspera
328,Lupinus perennis
328,Monarda fistulosa
328,Panicum virgatum
328,Petalostemum purpureum
328,Poa pratensis
328,Quercus macrocarpa
328,Schizachyrium scoparium
328,Solidago rigida
329,Achillea millefolium(lanulosa)
329,Agropyron smithii
329,Amorpha canescens
329,Andropogon gerardi
329,Elymus canadensis
329,Koeleria cristata
329,Lespedeza capitata
329,Lupinus perennis
329,Monarda fistulosa
329,Panicum virgatum
329,Petalostemum purpureum
329,Poa pratensis
329,Quercus ellipsoidalis
329,Quercus macrocarpa
329,Schizachyrium scoparium
329,Solidago rigida
329,Sorghastrum nutans
330,Andropogon gerardi
330,Liatris aspera
331,Achillea millefolium(lanulosa)
331,Agropyron smithii
331,Amorpha canescens
331,Andropogon gerardi
331,Asclepias tuberosa
331,Elymus canadensis
331,Koeleria cristata
331,Lespedeza capitata
331,Liatris aspera
331,Lupinus perennis
331,Monarda fistulosa
331,Panicum virgatum
331,Petalostemum purpureum
331,Quercus ellipsoidalis
331,Quercus macrocarpa
331,Schizachyrium scoparium
331,Solidago rigida
333,Elymus canadensis
334,Elymus canadensis
334,Sorghastrum nutans
335,Koeleria cristata
335,Petalostemum candidum
335,Petalostemum villosum
336,Achillea millefolium(lanulosa)
336,Agropyron smithii
336,Amorpha canescens
336,Andropogon gerardi
336,Asclepias tuberosa
336,Elymus canadensis
336,Koeleria cristata
336,Lespedeza capitata
336,Liatris aspera
336,Lupinus perennis
336,Monarda fistulosa
336,Panicum virgatum
336,Quercus ellipsoidalis
336,Quercus macrocarpa
336,Schizachyrium scoparium
336,Solidago rigida
336,Sorghastrum nutans
338,Monarda fistulosa
338,Solidago rigida
339,Achillea millefolium(lanulosa)
339,Amorpha canescens
339,Andropogon gerardi
339,Asclepias tuberosa
339,Elymus canadensis
339,Koeleria cristata
339,Lespedeza capitata
339,Liatris aspera
339,Lupinus perennis
339,Monarda fistulosa
339,Panicum virgatum
339,Petalostemum purpureum
339,Poa pratensis
339,Quercus ellipsoidalis
339,Quercus macrocarpa
339,Schizachyrium scoparium
339,Solidago rigida
342,Lupinus perennis
342,Monarda fistulosa
342,Solidago rigida
